,StationID,StationName,Latitude,Longitude,Suburb,Road,Neighborhood
0,72.0,W 52 St & 11 Ave,40.7673,-73.9939,Manhattan,West 52nd Street,Hell's Kitchen
1,79.0,Franklin St & W Broadway,40.7191,-74.0067,,Franklin Street,Tribeca
2,82.0,St James Pl & Pearl St,40.7112,-74.0002,Manhattan,Pearl Street,Two Bridges
3,83.0,Atlantic Ave & Fort Greene Pl,40.6838,-73.9763,Brooklyn,Atlantic Avenue,
4,116.0,W 17 St & 8 Ave,40.7418,-74.0015,,West 17th Street,Chelsea District
5,119.0,Park Ave & St Edwards St,40.6961,-73.978,Brooklyn,Park Avenue,
6,120.0,Lexington Ave & Classon Ave,40.6868,-73.9593,Brooklyn,Classon Avenue,
7,127.0,Barrow St & Hudson St,40.7317,-74.0067,,Barrow Street,West Village
8,128.0,MacDougal St & Prince St,40.7271,-74.003,,MacDougal Street,SoHo
9,143.0,Clinton St & Joralemon St,40.6924,-73.9934,Brooklyn,Clinton Street,Brooklyn Heights
10,144.0,Nassau St & Navy St,40.6984,-73.9807,Brooklyn,Navy Street,
11,146.0,Hudson St & Reade St,40.7163,-74.0091,,Hudson Street,Tribeca
12,150.0,E 2 St & Avenue C,40.7209,-73.9809,Manhattan,East 2nd Street,East Village
13,151.0,Cleveland Pl & Spring St,40.7221,-73.9972,Manhattan,Lafayette Street,Little Italy
14,157.0,Henry St & Atlantic Ave,40.6909,-73.9961,Brooklyn,Henry Street,Brooklyn Heights
15,161.0,LaGuardia Pl & W 3 St,40.7292,-73.9981,,Washington Square North,Greenwich Village
16,164.0,E 47 St & 2 Ave,40.7532,-73.9703,,East 47th Street,Turtle Bay
17,167.0,E 39 St & 3 Ave,40.7489,-73.976,Manhattan,East 39th Street,Murray Hill
18,168.0,W 18 St & 6 Ave,40.7397,-73.9946,,West 18th Street,Manhattan Community Board 5
19,173.0,Broadway & W 49 St,40.7607,-73.9845,,Broadway,
20,174.0,E 25 St & 1 Ave,40.7382,-73.9774,,East 25th Street,Kips Bay
21,195.0,Liberty St & Broadway,40.7091,-74.0104,Manhattan,Liberty Street,
22,212.0,W 16 St & The High Line,40.7433,-74.0068,,West 16th Street,Chelsea District
23,216.0,Columbia Heights & Cranberry St,40.7004,-73.9955,Brooklyn,Brooklyn-Queens Expressway,Brooklyn Heights
24,217.0,Old Fulton St,40.7028,-73.9938,Brooklyn,Old Fulton Street,
25,223.0,W 13 St & 7 Ave,40.7378,-73.9999,,West 13th Street,Greenwich Village
26,224.0,Spruce St & Nassau St,40.7115,-74.0055,,Pace Plaza,Financial District
27,228.0,E 48 St & 3 Ave,40.7546,-73.9719,,East 48th Street,Turtle Bay
28,229.0,Great Jones St,40.7274,-73.9938,,Great Jones Street,NoHo
29,236.0,St Marks Pl & 2 Ave,40.7284,-73.9871,Manhattan,Saint Mark's Place,East Village
30,237.0,E 11 St & 2 Ave,40.7305,-73.9867,Manhattan,East 11th Street,East Village
31,238.0,Bank St & Washington St,40.7362,-74.0086,,Bank Street,Manhattan Community Board 2
32,239.0,Willoughby St & Fleet St,40.692,-73.9813,Brooklyn,Willoughby Street,
33,241.0,DeKalb Ave & S Portland Ave,40.6898,-73.9749,Brooklyn,DeKalb Avenue,Fort Greene
34,242.0,Carlton Ave & Flushing Ave,40.6978,-73.9737,Brooklyn,Carlton Avenue,
35,243.0,Fulton St & Rockwell Pl,40.6884,-73.9795,Brooklyn,Fulton Street,
